"","Latitude","Longitude","Borough","Job.Type","Permit.Type","Job.Number","BIN","Permit.Filing.Status","Job.Type2","Cost.Estimate","Enlargement.Flag","Square.Footage","Permit.Issuance.Date","Permit.Expiration.Date","Job.Location.House.Number","Job.Location.Street.Name","Community.Board","General.Contractor","Proposed.Occupancy.Class","Proposed.Stories","Proposed.Dwelling.Units","Accident_Pred","Accident_Prob.0","Accident_Prob.1"
"1",40.49916,-74.23998,"Staten Island","NB","New Building","520300781","5087855","I","NB",   652236,"No",   4407,"2018-01-16","2018-09-02","678","YETMAN  AVENUE","503","L & M HOMES LLC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  1,"0",0.994834788,0.005165212
"2",40.50356,-74.23051,"Staten Island","NB","New Building","520313839","5168934","I","NB",  1045028,"No",   7061,"2018-06-22","2019-01-26","59","BELWOOD LOOP","503","MADONIA DEVELOPMENT CORP","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 2,  1,"0",0.994834788,0.005165212
"3",40.50384,-74.22998,"Staten Island","NB","New Building","520317657","5170281","I","NB",    85248,"No",    576,"2018-03-06","2019-03-06","55GAR","BELWOOD LOOP","503","BRIDLE ESTATES INC","UTILITY / MISCELLANEOUS", 1,NA,"0",0.994834788,0.005165212
"4",40.50436,-74.23174,"Staten Island","NB","New Building","520135862","5168936","I","NB",  1593960,"No",  10770,"2018-05-18","2019-03-01","17","BELVEDERE COURT","503","BRIDLE ESTATES INC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  1,"0",0.994834788,0.005165212
"5",40.50461,-74.23202,"Staten Island","NB","New Building","520317611","5151849","I","NB",   734820,"No",   4965,"2018-03-06","2019-03-01","16","BELVEDERE COURT","503","BRIDLE ESTATES INC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 2,  1,"0",0.994834788,0.005165212
"6",40.50736,-74.23425,"Staten Island","NB","New Building","520326978","5093023","I","NB",    42328,"No",    286,"2018-07-11","2018-12-20","31","GIEGERICH PLACE","503","NOCE CONSTRUCTION CORP","UTILITY / MISCELLANEOUS", 1,NA,"0",0.994834788,0.005165212
"7",40.50748,-74.24449,"Staten Island","NB","New Building","520288787","5170166","I","NB",   533688,"No",   3606,"2018-05-02","2018-12-18","116","BRIGHTON STREET","503","BELL BUILDING CORP","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  2,"0",0.994834788,0.005165212
"8",40.50750,-74.24479,"Staten Island","NB","New Building","520288778","5088133","I","NB",   533688,"No",   3606,"2018-05-02","2018-12-18","122","BRIGHTON STREET","503","BELL BUILDING CORP","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  2,"0",0.994834788,0.005165212
"9",40.50776,-74.23940,"Staten Island","NB","New Building","520308514","5169750","I","NB",   589632,"No",   3984,"2018-03-15","2018-10-30","142","SPRAGUE AVE","503","WALLACE AVENUE CONSTR LLC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  2,"0",0.994834788,0.005165212
"10",40.50776,-74.23940,"Staten Island","NB","New Building","520308523","5170122","I","NB",   584304,"No",   3948,"2018-03-15","2018-10-30","144","SPRAGUE AVE","503","WALLACE AVENUE CONSTR LLC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  2,"0",0.994834788,0.005165212
"11",40.50822,-74.24663,"Staten Island","NB","New Building","520325229","5170442","I","NB",    39072,"No",    264,"2018-04-09","2018-12-31","282 GAR","MAIN STREET","503","PREMIER PARTITION & DRYWA","UTILITY / MISCELLANEOUS", 1,  0,"0",0.994834788,0.005165212
"12",40.50829,-74.24691,"Staten Island","NB","New Building","520325112","5088268","I","NB",   623080,"No",   4210,"2018-04-02","2018-12-31","282","MAIN STREET","503","PREMIER PARTITION & DRYWA","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  2,"0",0.994834788,0.005165212
"13",40.50831,-74.24666,"Staten Island","NB","New Building","520325103","5170411","I","NB",   623080,"No",   4210,"2018-04-02","2018-12-31","278","MAIN STREET","503","PREMIER PARTITION & DRYWA","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  2,"0",0.994834788,0.005165212
"14",40.50831,-74.24666,"Staten Island","NB","New Building","520325210","5170414","I","NB",    39072,"No",    264,"2018-04-09","2018-12-31","278 GAR","MAIN STREET","503","PREMIER PARTITION & DRYWA","UTILITY / MISCELLANEOUS", 1,  0,"0",0.994834788,0.005165212
"15",40.51299,-74.23386,"Staten Island","NB","New Building","520244806","5165152","I","NB",   995300,"No",   6725,"2018-01-26","2018-10-17","77","GIEGERICH AVENUE","503","BLUE STAR GROUP LLC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  1,"0",0.994834788,0.005165212
"16",40.51314,-74.23390,"Staten Island","NB","New Building","520244824","5165151","I","NB",   658748,"No",   4451,"2018-02-12","2018-10-17","69","GIEGERICH AVENUE","503","BLUE STAR GROUP LLC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  1,"0",0.994834788,0.005165212
"17",40.51322,-74.23392,"Staten Island","NB","New Building","520244833","5165150","I","NB",   604284,"No",   4083,"2018-06-04","2018-10-17","65","GIEGERICH AVENUE","503","BLUE STAR GROUP LLC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  1,"0",0.994834788,0.005165212
"18",40.51330,-74.23190,"Staten Island","NB","New Building","520287127","5165149","I","NB",   456432,"No",   3084,"2017-11-20","2018-10-17","462","PAGE AVENUE","503","BLUE STAR GROUP LLC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  1,"0",0.994834788,0.005165212
"19",40.51330,-74.23190,"Staten Island","NB","New Building","520326996","5170679","I","NB",    39368,"No",    266,"2018-07-17","2019-07-17","462 GARAGE","PAGE AVENUE","503","BLUE STAR GROUP LLC","UTILITY / MISCELLANEOUS", 1,NA,"0",0.994834788,0.005165212
"20",40.51336,-74.23231,"Staten Island","NB","New Building","520286994","5169685","I","NB",   573944,"No",   3878,"2017-10-23","2018-10-17","390","PAGE AVENUE","503","BLUE STAR GROUP LLC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  1,"0",0.994834788,0.005165212
"21",40.51336,-74.23231,"Staten Island","NB","New Building","520287001","5169684","I","NB",   573944,"No",   3878,"2017-10-23","2018-10-17","394","PAGE AVENUE","503","BLUE STAR GROUP LLC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  1,"0",0.994834788,0.005165212
"22",40.51336,-74.23231,"Staten Island","NB","New Building","520287038","5165140","I","NB",   573944,"No",   3878,"2018-02-20","2018-10-17","406","PAGE AVENUE","503","BLUE STAR GROUP LLC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  1,"0",0.994834788,0.005165212
"23",40.51336,-74.23231,"Staten Island","NB","New Building","520287092","5165146","I","NB",   651792,"No",   4404,"2018-02-20","2018-10-17","438","PAGE AVENUE","503","BLUE STAR GROUP LLC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  1,"0",0.994834788,0.005165212
"24",40.51342,-74.23193,"Staten Island","NB","New Building","520287118","5165148","I","NB",   456432,"No",   3084,"2018-01-26","2018-10-17","454","PAGE AVENUE","503","BLUE STAR GROUP LLC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  1,"0",0.994834788,0.005165212
"25",40.51354,-74.23197,"Staten Island","NB","New Building","520287109","5165147","I","NB",   651792,"No",   4404,"2018-02-20","2018-10-17","446","PAGE AVENUE","503","BLUE STAR GROUP LLC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  1,"0",0.994834788,0.005165212
"26",40.51372,-74.23203,"Staten Island","NB","New Building","520287083","5165145","I","NB",   650460,"No",   4395,"2018-02-20","2018-10-17","434","PAGE AVENUE","503","BLUE STAR GROUP LLC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  1,"0",0.994834788,0.005165212
"27",40.51381,-74.23205,"Staten Island","NB","New Building","520287074","5165144","I","NB",   657416,"No",   4442,"2018-02-20","2018-10-17","428","PAGE AVENUE","503","BLUE STAR GROUP LLC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  1,"0",0.994834788,0.005165212
"28",40.51393,-74.23209,"Staten Island","NB","New Building","520287065","5165143","I","NB",   657416,"No",   4442,"2018-02-20","2018-10-17","420","PAGE AVENUE","503","BLUE STAR GROUP LLC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  1,"0",0.994834788,0.005165212
"29",40.51450,-74.23227,"Staten Island","NB","New Building","520287029","5165139","I","NB",   573944,"No",   3878,"2017-10-23","2018-10-17","402","PAGE AVENUE","503","BLUE STAR GROUP LLC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  1,"0",0.994834788,0.005165212
"30",40.51480,-74.23235,"Staten Island","NB","New Building","520287010","5165138","I","NB",   573944,"No",   3878,"2017-10-23","2018-10-17","398","PAGE AVENUE","503","BLUE STAR GROUP LLC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  1,"0",0.994834788,0.005165212
